成交日期      ,成交时间    ,证券代码    ,证券名称    ,委托方向    ,成交数量    ,成交均价    ,成交金额      ,佣金      ,印花税    
2021/12/29,19:36:16,783166      ,兴业发债    ,配售申购    ,10,100,1000,0,0
2021/12/27,9:41:42,688167      ,炬光科技    ,证券卖出    ,300,180.9,54270,9.84,54.27
2021/12/24,9:51:21,688167      ,N炬光       ,证券卖出    ,200,203,40600,7.36,40.6
2021/12/17,19:52:13,787167      ,炬光申购    ,配售申购    ,500,78.69,39345,0,0
2021/12/1,13:48:04,127049      ,希望转2     ,证券卖出    ,10,125.8,1258,0.2,0
2021/11/4,19:38:44,070876      ,希望发债    ,配售申购    ,10,100,1000,0,0
2021/9/28,9:33:08,002415      ,海康威视    ,证券买入    ,200,54,10800,4.03,0
2021/9/27,14:12:14,127045      ,牧原转债    ,证券卖出    ,6,130.1,780.6,0.13,0
2021/9/27,10:58:27,002415      ,海康威视    ,证券卖出    ,400,54.4,21760,3.51,21.76
2021/9/27,9:39:20,600887      ,伊利股份    ,证券卖出    ,200,37.9,7580,4.48,7.58
2021/9/24,10:01:29,000858      ,五 粮 液    ,证券卖出    ,100,198,19800,3.24,19.8
2021/9/23,10:32:50,110081      ,闻泰转债    ,证券卖出    ,10,135,1350,0.27,0
2021/8/18,10:12:08,512880      ,证券ETF     ,证券买入    ,6000,1.09,6540,1.38,0
2021/8/17,13:41:45,600309      ,万华化学    ,证券买入    ,100,111.9,11190,4.24,0
2021/8/16,15:00:00,082714      ,牧原配债    ,配股缴款    ,6,0,600,0,0
2021/8/6,10:34:53,600196      ,复星医药    ,证券买入    ,100,79.85,7985,4.45,0
2021/7/30,21:44:58,733745      ,闻泰发债    ,配售申购    ,10,100,1000,0,0
2021/7/28,9:58:12,002714      ,牧原股份    ,证券买入    ,100,40.7,4070,4.64,0
2021/7/22,13:05:32,113626      ,伯特转债    ,证券卖出    ,10,132,1320,0.26,0
2021/7/21,11:05:19,002714      ,牧原股份    ,证券买入    ,100,50.6,5060,4.55,0
2021/7/16,13:55:26,000858      ,五 粮 液    ,证券买入    ,100,278.89,27889,4.49,0
2021/7/8,13:40:34,301039      ,N中集       ,证券卖出    ,500,17.5,8750,4.22,8.75
2021/7/1,19:41:47,301039      ,中集车辆    ,配售申购    ,500,6.96,3480,0,0
2021/7/1,19:41:47,754596      ,伯特发债    ,配售申购    ,10,100,1000,0,0
2021/6/21,13:24:07,127035      ,濮耐转债    ,证券卖出    ,10,105.163,1051.63,0.17,0
2021/5/28,20:15:19,072225      ,072225      ,配售申购    ,10,100,1000,0,0
2021/5/25,9:49:13,300750      ,宁德时代    ,证券买入    ,100,391,39100,6.32,0
2021/5/19,14:39:36,600031      ,三一重工    ,证券买入    ,400,29.53,11812,4.18,0
2021/5/13,10:56:28,110080      ,东湖转债    ,证券卖出    ,10,99.3,993,0.2,0
2021/4/27,14:00:58,123111      ,东财转3     ,证券卖出    ,19,130,2470,0.39,0
2021/4/26,9:54:59,110079      ,杭银转债    ,证券卖出    ,10,113,1130,0.23,0
2021/4/23,10:03:43,002352      ,顺丰控股    ,证券买入    ,100,64.1,6410,4.43,0
2021/4/14,19:48:49,733133      ,东湖发债    ,配售申购    ,10,100,1000,0,0
2021/4/9,20:26:39,370059      ,东财发债    ,配售申购    ,10,100,1000,0,0
2021/4/7,15:00:00,380059      ,东财配债    ,配股缴款    ,9,0,900,0,0
2021/3/31,19:52:29,733926      ,杭银发债    ,配售申购    ,10,100,1000,0,0
2021/2/18,13:51:40,600036      ,招商银行    ,证券买入    ,100,55.59,5559,4.62,0
2021/2/10,9:44:32,113042      ,N上银转     ,证券卖出    ,10,100.49,1004.9,0.2,0
2021/2/5,14:21:32,002475      ,立讯精密    ,证券买入    ,100,49.76,4976,4.56,0
2021/1/27,19:56:20,783229      ,上银发债    ,配售申购    ,10,100,1000,0,0
2021/1/15,9:43:40,113044      ,N大秦转     ,证券卖出    ,10,101.76,1017.6,0.2,0
2021/1/6,11:23:18,127018      ,本钢转债    ,证券卖出    ,10,78.9,789,0.13,0
2021/1/6,11:22:35,128132      ,交建转债    ,证券卖出    ,10,93.052,930.52,0.15,0
2021/1/4,10:07:58,002415      ,海康威视    ,证券买入    ,200,47.76,9552,4.14,0
